"WebID,""Area"",""Data label"",""2021_"",""2021%_"",""2016"",""2016%"",""2011"",""2011%"",""2006"",""2006%"",""Data Type"","
"10,""Australia"",""Agriculture, Forestry and Fishing"",""282227"",""2.3422"",""266943"",""2.4986"",""249825"",""2.4841"",""280922"",""3.0856"",""UR"","
"10,""Australia"",""Mining"",""214767"",""1.7824"",""177649"",""1.6628"",""176429"",""1.7543"",""106897"",""1.1742"",""UR"","
"10,""Australia"",""Manufacturing"",""714755"",""5.9319"",""683688"",""6.3993"",""902818"",""8.9769"",""952012"",""10.4569"",""UR"","
"10,""Australia"",""Electricity, Gas, Water and Waste Services"",""134357"",""1.1150"",""115767"",""1.0836"",""115579"",""1.1492"",""89449"",""0.9825"",""UR"","
"10,""Australia"",""Construction"",""1067645"",""8.8606"",""911057"",""8.5274"",""828838"",""8.2413"",""709845"",""7.7969"",""UR"","
"10,""Australia"",""Wholesale trade"",""311856"",""2.5881"",""307742"",""2.8804"",""403789"",""4.0149"",""396359"",""4.3536"",""UR"","
"10,""Australia"",""Retail Trade"",""1099622"",""9.1259"",""1053819"",""9.8636"",""1057230"",""10.5122"",""1033193"",""11.3485"",""UR"","
"10,""Australia"",""Accommodation and Food Services"",""783732"",""6.5043"",""738234"",""6.9098"",""650356"",""6.4666"",""575115"",""6.3170"",""UR"","
"10,""Australia"",""Transport, Postal and Warehousing"",""546361"",""4.5343"",""499485"",""4.6751"",""479115"",""4.7639"",""427795"",""4.6989"",""UR"","
"10,""Australia"",""Information Media and Telecommunications"",""166866"",""1.3848"",""179534"",""1.6804"",""178187"",""1.7717"",""176819"",""1.9422"",""UR"","
"10,""Australia"",""Financial and Insurance Services"",""445130"",""3.6942"",""384603"",""3.5998"",""377346"",""3.7520"",""348586"",""3.8289"",""UR"","
"10,""Australia"",""Rental, Hiring and Real Estate Services"",""187625"",""1.5571"",""182142"",""1.7048"",""158847"",""1.5794"",""153906"",""1.6905"",""UR"","
"10,""Australia"",""Professional, Scientific and Technical Services"",""945105"",""7.8436"",""775985"",""7.2631"",""730021"",""7.2587"",""602017"",""6.6125"",""UR"","
"10,""Australia"",""Administrative and Support Services"",""388421"",""3.2236"",""365735"",""3.4232"",""323720"",""3.2188"",""286625"",""3.1483"",""UR"","
"10,""Australia"",""Public Administration and Safety"",""797027"",""6.6147"",""713141"",""6.6749"",""689555"",""6.8564"",""608595"",""6.6848"",""UR"","
"10,""Australia"",""Education and Training"",""1061332"",""8.8082"",""925893"",""8.6663"",""804306"",""7.9974"",""697807"",""7.6647"",""UR"","
"10,""Australia"",""Health Care and Social Assistance"",""1751723"",""14.5378"",""1351023"",""12.6454"",""1167573"",""11.6094"",""956150"",""10.5023"",""UR"","
"10,""Australia"",""Arts and Recreation Services"",""188481"",""1.5642"",""176659"",""1.6535"",""151548"",""1.5069"",""127396"",""1.3993"",""UR"","
"10,""Australia"",""Other Services"",""435450"",""3.6139"",""399629"",""3.7405"",""378196"",""3.7605"",""338210"",""3.7149"",""UR"","
"10,""Australia"",""Inadequately described or not stated"",""526938"",""4.3731"",""475144"",""4.4473"",""233865"",""2.3254"",""236489"",""2.5976"",""UR"","
"20,""Greater Capital Cities"",""Agriculture, Forestry and Fishing"",""55925"",""0.6953"",""49766"",""0.6971"",""38100"",""0.5776"",""40967"",""0.6917"",""UR"","
"20,""Greater Capital Cities"",""Mining"",""101640"",""1.2636"",""74191"",""1.0392"",""68751"",""1.0423"",""39233"",""0.6624"",""UR"","
"20,""Greater Capital Cities"",""Manufacturing"",""484423"",""6.0224"",""466994"",""6.5410"",""619146"",""9.3865"",""656134"",""11.0781"",""UR"","
"20,""Greater Capital Cities"",""Electricity, Gas, Water and Waste Services"",""85013"",""1.0569"",""71730"",""1.0047"",""69648"",""1.0559"",""52475"",""0.8860"",""UR"","
"20,""Greater Capital Cities"",""Construction"",""698576"",""8.6848"",""605313"",""8.4784"",""529197"",""8.0229"",""446004"",""7.5303"",""UR"","
"20,""Greater Capital Cities"",""Wholesale trade"",""231402"",""2.8768"",""232800"",""3.2607"",""303967"",""4.6083"",""297449"",""5.0221"",""UR"","
"20,""Greater Capital Cities"",""Retail Trade"",""730458"",""9.0811"",""697061"",""9.7634"",""679241"",""10.2976"",""658752"",""11.1223"",""UR"","
"20,""Greater Capital Cities"",""Accommodation and Food Services"",""489610"",""6.0869"",""469650"",""6.5782"",""397127"",""6.0206"",""345717"",""5.8370"",""UR"","
"20,""Greater Capital Cities"",""Transport, Postal and Warehousing"",""392557"",""4.8803"",""353994"",""4.9582"",""329249"",""4.9916"",""292746"",""4.9427"",""UR"","
"20,""Greater Capital Cities"",""Information Media and Telecommunications"",""135371"",""1.6829"",""145718"",""2.0410"",""142513"",""2.1606"",""138130"",""2.3322"",""UR"","
"20,""Greater Capital Cities"",""Financial and Insurance Services"",""375317"",""4.6660"",""320597"",""4.4905"",""310352"",""4.7051"",""283383"",""4.7846"",""UR"","
"20,""Greater Capital Cities"",""Rental, Hiring and Real Estate Services"",""134651"",""1.6740"",""129572"",""1.8149"",""108428"",""1.6438"",""103488"",""1.7473"",""UR"","
"20,""Greater Capital Cities"",""Professional, Scientific and Technical Services"",""747868"",""9.2976"",""613847"",""8.5979"",""571868"",""8.6698"",""468308"",""7.9069"",""UR"","
"20,""Greater Capital Cities"",""Administrative and Support Services"",""263585"",""3.2769"",""251974"",""3.5293"",""225792"",""3.4231"",""201110"",""3.3955"",""UR"","
"20,""Greater Capital Cities"",""Public Administration and Safety"",""485637"",""6.0375"",""434431"",""6.0849"",""413779"",""6.2731"",""361394"",""6.1017"",""UR"","
"20,""Greater Capital Cities"",""Education and Training"",""705067"",""8.7655"",""613589"",""8.5943"",""522704"",""7.9244"",""448864"",""7.5786"",""UR"","
"20,""Greater Capital Cities"",""Health Care and Social Assistance"",""1140310"",""14.1765"",""883518"",""12.3751"",""757411"",""11.4827"",""621713"",""10.4969"",""UR"","
"20,""Greater Capital Cities"",""Arts and Recreation Services"",""131890"",""1.6397"",""126028"",""1.7652"",""106462"",""1.6140"",""88127"",""1.4879"",""UR"","
"20,""Greater Capital Cities"",""Other Services"",""283858"",""3.5290"",""263578"",""3.6918"",""245201"",""3.7174"",""221966"",""3.7476"",""UR"","
"20,""Greater Capital Cities"",""Inadequately described or not stated"",""370520"",""4.6064"",""335157"",""4.6944"",""157164"",""2.3827"",""156851"",""2.6483"",""UR"","
